word,part_of_speech,definitions,examples,section,source
púhun,v,"/mag-,-un/ to conspire, to plot.",,P,MotusDictionary
pulá,adj,"red, crimson.",,P,MotusDictionary
púlak,v,"/ma-/ to falloffthetree orplant, to wither | andfall. Napúlak angbúnga sakáhuy . The",,P,MotusDictionary
fruit,unknown,felloffthetree.,,P,MotusDictionary
puláw,v,"/mag-/ to stay awake soasto watch, to",,P,MotusDictionary
púlbura,n,gunpowder .,,P,MotusDictionary
púlbus,n,"powder , face powder , dusting powder .",,P,MotusDictionary
pulgáda,n,in ch.,,P,MotusDictionary
púli,v,"/mag-/ to take sides in afight, to allywith.",,P,MotusDictionary
Nagpúli,unknown,si José kay Ricárdo . Jose sided,,P,MotusDictionary
púling,v,/ma-/ to have aforeign object in theeye.,,P,MotusDictionary
Napúling,unknown,si Noél . Noel hassomething in | hiseye.,,P,MotusDictionary
pulís,n,"policeman, cop.",,P,MotusDictionary
púlpug,v,"/mag-,-un/ to drive ormash with ahammer .",,P,MotusDictionary
pulséras,n,bracelet.,,P,MotusDictionary
púlsu,n,pulse.,,P,MotusDictionary
púlu,n,handle of aknife. HILIGA YNON DICTIONAR Y,,P,MotusDictionary
púlung,n,"message, word, advice.",,P,MotusDictionary
pulús,n,"usefulness, profit, advantage, benefit.",,P,MotusDictionary
púlut,v,"/mag-,-un/ to pick upfrom theground.",,P,MotusDictionary
Ginpúlut,unknown,kuangpapél . Ipicked upthe,,P,MotusDictionary
pumpyáng,n,cymbal. | púna’ n net.,,P,MotusDictionary
fisherman,unknown,wove afishnet.,,P,MotusDictionary
púnaw,v,"/ma-/ to faint, to feeldizzy . Napúnaw akú | saka’ínit. Ifeltfaint with theheat.",,P,MotusDictionary
púnda,n,pillow case.,,P,MotusDictionary
puní,n,decoration.,,P,MotusDictionary
púnung,n,fishpond. P,,P,MotusDictionary
púnta,n,"tip, edge, end.",,P,MotusDictionary
púntus,n,"score, point.",,P,MotusDictionary
púnyus,n,"wrist, cuff.",,P,MotusDictionary
pungá,adj,"nasal manner of speech. | pungku’ v /mag-,-an/ to sitdown.",,P,MotusDictionary
púnggud,n,"pimple, blemish.",,P,MotusDictionary
púnggul,v,"/mag-,-un/ to cuto fffrom theplant, to | prune. Ginpúnggul kuangúgbus sang",,P,MotusDictionary
katúmbal,unknown,. Icuto ffthebuds of thepepper | plant.,,P,MotusDictionary
púngpung,n,"bundle, bunch, bouquet of flowers.",,P,MotusDictionary
púngsud,n,"country , nation, community . | pú’pu’ v /mag-,-un/ to pluck from theplant ortree, | to pick, to harvest. Nagpú’pu’ silásang",,P,MotusDictionary
kamátis,unknown,kágtalúng . They picked to mato es | andeggplants.,,P,MotusDictionary
púrma,n,"form, shape.",,P,MotusDictionary
púru,adv,"purely , all.",,P,MotusDictionary
púrung,n,"crown, veil, head cover . | pusá’ v /ma-/ to break, to crack. Napusá’ angbáso.",,P,MotusDictionary
Theglass,unknown,broke.,,P,MotusDictionary
púsad,v,"/mag-/ to pace upanddown angrily , to",,P,MotusDictionary
stamp,unknown,"thefeetinanger . | pús’ang v /mag-,-un/ to throw down on thefloor, to",,P,MotusDictionary
putdown,unknown,with abang. Ginpús’ang kuang | líbro. Ithrew thebook down. HILIGA YNON DICTIONAR Y,,P,MotusDictionary
púsdak,v,"/mag-,-un/ to throw down, to drop with",,P,MotusDictionary
considerable,unknown,force. Ginpúsdak ni Manuél | angsíya. Manuel threw thechair against | thefloor.,,P,MotusDictionary
púsnga,n,"snort, pant.",,P,MotusDictionary
puspurú,n,"match, match stick. | pústa’ n stake, bet.",,P,MotusDictionary
púsud,n,"navel, belly butto n. | pús’un n abdomen.",,P,MotusDictionary
púswit,v,/mag-/ to burst through asmall opening,,P,MotusDictionary
pútul,v,"/mag-,-un/ to sever , to cuto ff. Ginpútul ku",,P,MotusDictionary
putús,n,"wrapper , cover .",,P,MotusDictionary
putút,adj,"of people, short.",,P,MotusDictionary
putyúkan,n,beehive. | pu’úk n place. P,,P,MotusDictionary
púyu,n,"cloth sack, cloth bagwith adrawstring.",,P,MotusDictionary
puyú,n,"mudfish, freshwater fish. | puyú’ v /mag-, -an/to live, to dwell, to reside.",Nagpuyú’ silása Mindanáo . They lived in,P,MotusDictionary
púyus,v,"/mag-,-un/ to bind, to wrap up. Nagpúyus",,P,MotusDictionary
siNánay,unknown,sang pagká’un . Mother wrapped,,P,MotusDictionary
upsome,unknown,food.,,P,MotusDictionary
pwéde,adv,"allright, canbe, itspossible, certainly , yes.",,P,MotusDictionary
pwérta,n,"door, gate.",,P,MotusDictionary
pwertáhan,n,door.,,P,MotusDictionary
pyáno,n,piano .,,P,MotusDictionary
pyánsa,n,"bond, bailmoney .",,P,MotusDictionary
pyé,n,on efootmeasure.,,P,MotusDictionary
pyérde,v,"/ma-,-un/ to bedefeated, to lose, to give | up. Napyérde akúsang duhá kagatús sa",,P,MotusDictionary
búlang,unknown,. Ilosttwohundred in the | cockfight.,,P,MotusDictionary
pyésas,n,spare parts.,,P,MotusDictionary
pyésta,n,"fiesta, religious feast of apatron saint",,P,MotusDictionary
carnivalistic,unknown,tradition. HILIGA YNON DICTIONAR Y,,P,MotusDictionary
rabanús,unknown,nradish.,,R,MotusDictionary
rábrab,v,"/-un/ to tear of f, to rip. Ginrábrab sang báta’",,R,MotusDictionary
angkurtína,unknown,. Thechild ripped thecurtain.,,R,MotusDictionary
rádyo,unknown,nradio .,,R,MotusDictionary
rámas,v,"/mag-,-un/ to rub, to scrape of f.",,R,MotusDictionary
rántsu,unknown,nranch.,,R,MotusDictionary
rásras,v,"/mag-,-un/ to slash, of clothing, to slito rto",,R,MotusDictionary
ráyna,unknown,"nqueen, empress.",,R,MotusDictionary
rebólber,unknown,"ngun, revolver .",,R,MotusDictionary
reklámo,unknown,"ncomplaint, discontent. | v/mag-,-un/ to complain. Nagreklámo akúsa",,R,MotusDictionary
direktór,unknown,. Icomplained to thedirecto r .,,R,MotusDictionary
reló,unknown,"ntime piece, wrist watch.",,R,MotusDictionary
relyéno,unknown,nstuffed chicken orfish.,,R,MotusDictionary
rénda,unknown,nbridle.,,R,MotusDictionary
rénta,unknown,"nrent. | v/mag-,-an/ to rent, to hire.",,R,MotusDictionary
repólyo,unknown,ncabbage.,,R,MotusDictionary
representánte,unknown,"nrepresentative, congressman.",,R,MotusDictionary
reputasyon,unknown,nreputation.,,R,MotusDictionary
resíbo,unknown,nreceipt.,,R,MotusDictionary
resíta,unknown,nprescription of adocto r .,,R,MotusDictionary
resúlta,unknown,"nresult, conclusion.",,R,MotusDictionary
retobádo,unknown,"adjnaughty , impish.",,R,MotusDictionary
réyna,unknown,nqueen.,,R,MotusDictionary
rikádo,unknown,"nseasoning, spice.",,R,MotusDictionary
rílis,unknown,"ntrain rail, railroad tracks.",,R,MotusDictionary
rimís,adj,"/ma-/ delicious, tasty.",,R,MotusDictionary
rípa,unknown,"nraffle, lottery .",,R,MotusDictionary
ritásu,unknown,nremnant.,,R,MotusDictionary
románsa,unknown,nromance.,,R,MotusDictionary
rósa,unknown,adjpink.,,R,MotusDictionary
rosál,unknown,ngardenia.,,R,MotusDictionary
rósas,unknown,nrose flower .,,R,MotusDictionary
rúmpag,v,"/mag-,-un/ to destroy , to ruin, to take apart.",,R,MotusDictionary
Ginrúmpag,unknown,kuangbálaybálay . Ito re down,,R,MotusDictionary
theplay,unknown,house.,,R,MotusDictionary
rúsdak,v,"/ma-/ to collapse, to fallover. Narúsdak ang",,R,MotusDictionary
rwéda,unknown,nwheel. HILIGA YNON DICTIONAR Y,,R,MotusDictionary
sa,adv,"by, on, at, in, relational particle. | sá’ad n promise, vow.",,S,MotusDictionary
promised,unknown,"to come here. | sába’ v /mag-/ to beat double time, to beat violently .",Nagsába’ angpitík sang ákun dúghan . My,S,MotusDictionary
heart,unknown,beat faster .,,S,MotusDictionary
sábak,n,lap.,,S,MotusDictionary
sábad,adj,"/ma-/ noisy , troublesome.",,S,MotusDictionary
Sabadó,n,Saturday .,,S,MotusDictionary
sabát,n,"response, answer .",,S,MotusDictionary
sabáw,n,"broth, soup. | sáb’it v /mag-/ to hang to accidentally , to puto n.",Nagsáb’it angdalága sang búlak sabuhúk .,S,MotusDictionary
Thelady,unknown,putaflower in herhair.,,S,MotusDictionary
sáblag,v,"/mag-,-un/ to compromise, to meet halfway.",,S,MotusDictionary
Nagsáblag,unknown,si José kay Alfrédo . Jose,,S,MotusDictionary
compromised,unknown,with Aflredo .,,S,MotusDictionary
sáblay,v,"/mag-,-un/ to hang clothes orcloth.",,S,MotusDictionary
Nagsáblay,unknown,akúsang báyu’ . Ihung adress.,,S,MotusDictionary
sáblig,v,"/mag-/ to douse with water , to sprinkle",,S,MotusDictionary
Wesprinkled,unknown,water on theplant.,,S,MotusDictionary
sábnit,v,"/mag-,-un/ to snatch, to grab with force.",,S,MotusDictionary
Ginsábnit,unknown,kuanglíbro. Igrabbed thebook.,,S,MotusDictionary
sabúd,v,"/mag-,-un/ to scatter , to sow. Ginsabúnan ku",,S,MotusDictionary
sábwag,v,"/mag-,-un/ to scatter , to sow. Nagsábwag si",,S,MotusDictionary
sábya,v,"/mag-,-un/ to splash with water , to douse",,S,MotusDictionary
Thefather,unknown,"threw water . | sáka’ v /mag-,-un/ to enter , to goup, to ascend, to | climb.",,S,MotusDictionary
sakáda,n,seasonal worker .,,S,MotusDictionary
sakadéro,n,sugarcane field laborer .,,S,MotusDictionary
sakáy,v,"/mag-/ to ride, to board.",,S,MotusDictionary
sákdag,v,"/mag-,-un/ to help, to sustain, to support, to | aid. Ginsákdag nákun angduhá kabáta’ . I",,S,MotusDictionary
supported,unknown,thetwochildren.,,S,MotusDictionary
sakít,n,"illness, pain, grief, sorrow .",,S,MotusDictionary
sáklaw,v,/mag-/ to feelslighted. Nagsáklaw akú. Ifelt | slighted. HILIGA YNON DICTIONAR Y,,S,MotusDictionary
sáksak,v,"/mag-,-un/ to chop, to stab repeatedly , to cut | in to pieces. Ginsáksak angtáwu . Theman",,S,MotusDictionary
wasstabbed,unknown,several times.,,S,MotusDictionary
sáksi,n,witness.,,S,MotusDictionary
sáku,n,"burlap bag, sack. | sáku’ n /ka-/ busyness, hurry .",,S,MotusDictionary
young,unknown,woman quickened herwalk.,,S,MotusDictionary
sákup,n,"subjects, members.",,S,MotusDictionary
sákut,v,"/mag-,-un/ to mix, to blend, to putto gether .",,S,MotusDictionary
sádtu,unknown,d those (farfrom both thespeaker andthe | listener).,,S,MotusDictionary
sádya,n,"/ka-/ happiness, joy, cheer .",,S,MotusDictionary
sagáhay,v,"/mag-/ to overflow , to pour outabundantly .",,S,MotusDictionary
Nagsagáhay,unknown,angtúbig sakúlun . Water,,S,MotusDictionary
overflowed,unknown,from thepot.,,S,MotusDictionary
sagáng,v,"/mag-,-un/ to prevent, to protect on eself , to | defend. Ginsagáng kuangíyabayú . I",,S,MotusDictionary
defended,unknown,myself from hisblow. S,,S,MotusDictionary
sagawák,v,"/mag-,-un/ to burst outsuddenly aswater",,S,MotusDictionary
Thewater,unknown,burst through.,,S,MotusDictionary
ságbut,n,"rubbish, grass.",,S,MotusDictionary
ságing,n,"banana. | sagír’um adj /ma-/ dim, doleful.",,S,MotusDictionary
ságnuy,v,"/mag-,-un/ to drag in thewater while | cruising, to dunk in water . Nagságnuy ang",,S,MotusDictionary
fetch,unknown,water . Nagság’ub anglaláki sabusáy .,,S,MotusDictionary
sagúd,v,"/mag-,-un/ to take care of animals, to raise | animals. Nagsagúd silásang mangá bábuy .",,S,MotusDictionary
sagúp,v,"/mag-,-un/ to save, to rescue. Ginsagúp ku",,S,MotusDictionary
children,unknown,on thebeach.,,S,MotusDictionary
ságyud,v,"/mag-/ to trail behind asatrain, to beto o",,S,MotusDictionary
long,unknown,soasto to uch thefloor orground.,,S,MotusDictionary
Nagságyud,unknown,angkurtína . Thecurtain,,S,MotusDictionary
touched,unknown,"thefloor. | sáha’ n bulb, seedling, young plant grown from the",,S,MotusDictionary
root,unknown,"of themother plant. | sahí’ adj /pina-/ special, distinct, distinguished. HILIGA YNON DICTIONAR Y",,S,MotusDictionary
accustomed,unknown,to each other .,,S,MotusDictionary
sahúg,v,"/mag-,-un/ to disturb, to in terrupt.",,S,MotusDictionary
sála,n,"livingroom, hall, lounge area. | sála’ n /-an/ strainer .",,S,MotusDictionary
error,unknown,. Nagsalá’ akú. Imade amistake.,,S,MotusDictionary
salákay,v,"/mag-,-un/ to overthrow , to attack.",,S,MotusDictionary
salamángka,n,magic; /-ero/ magician.,,S,MotusDictionary
salámat,unknown,id thank you.,,S,MotusDictionary
salamíng,n,mirror .,,S,MotusDictionary
salampáti,n,dove. | salapí’ n fiftycentavo piece.,,S,MotusDictionary
salápid,n,braid.,,S,MotusDictionary
Ginsalápid,unknown,kuangakun buhúk . Ibraided my | hair.,,S,MotusDictionary
sálap,n,"fishnet. | salápu’ v /ma-/ to detect, to catch red-handed, to find.",Nasalápu’ sang pulís angkriminál . The,S,MotusDictionary
policeman,unknown,caught thecriminal.,,S,MotusDictionary
salawáhan,adj,"fickle, unfaithful. S",,S,MotusDictionary
saláwsaw,n,"examination, test.",,S,MotusDictionary
salbáhe,adj,"haughty , unfaithful, rogue. | saliká’ v /mag-/ to straddle, to sitastride. Nagsaliká’",,S,MotusDictionary
astride,unknown,thehorse.,,S,MotusDictionary
salída,n,"show , movie show .",,S,MotusDictionary
sálig,n,"trust, confidence.",,S,MotusDictionary
salimpapáw,adj,"superficial, hypocrite. | salimú’ang adj delirious.",,S,MotusDictionary
salín,n,"remnant, left-over , scrap.",,S,MotusDictionary
silásang,unknown,pagká’un pára bwas . They left,,S,MotusDictionary
salipádpad,v,"/mag-/ to fling, to throw away .",,S,MotusDictionary
sálmon,n,"sardines, salmon.",,S,MotusDictionary
sálsal,v,"/mag-,-un/ to forge, to hammer .",,S,MotusDictionary
salsálun,n,"iron, metal.",,S,MotusDictionary
salú,v,"/mag-,-un/ to catch. HILIGA YNON DICTIONAR Y",,S,MotusDictionary
sálu,v,"/mag-/ to eatto gether , to partake of ameal",,S,MotusDictionary
Marino,unknown,and Mariano ateto gether .,,S,MotusDictionary
salúk,v,"/mag-,-un/ to diporscoop outwith thehand",,S,MotusDictionary
oradipper,unknown,orladle. Nagsalúk akúsang,,S,MotusDictionary
sálud,v,"/mag-,-un/ to catch drops of water soasto",,S,MotusDictionary
gather,unknown,in acontainer . Nagsálud si Nánay,,S,MotusDictionary
salúdu,n,"salute, bow.",,S,MotusDictionary
salúg,n,floor.,,S,MotusDictionary
sálug,v,"/mag-/ to mix, to mingle.",,S,MotusDictionary
sálum,v,"/mag-,-un/ to dive for, to sink in. Ginsálum",,S,MotusDictionary
sálup,v,"/mag-/ to godown, to disappear , to | penetrate. Nagsálup anglánsang satápi’.",,S,MotusDictionary
Thenailwent,unknown,through thewood.,,S,MotusDictionary
salusálu,v,"/mag-/ to have afeast, to hold abanquet. | sál’ut v /mag-,-un/ to in sert, to getbetween.",,S,MotusDictionary
samád,n,"wound, in jured part.",,S,MotusDictionary
Ginsámad,unknown,kuangkahún . Idestroyed the | box.,,S,MotusDictionary
sámay,adj,"striped, lined.",,S,MotusDictionary
sámbag,n,tamarind.,,S,MotusDictionary
sámbil,v,"/mag-,-un/ to quirk. Nagsámbil angákun",,S,MotusDictionary
bibíg,unknown,. Mylipsquirked.,,S,MotusDictionary
sámbit,v,"/mag-,-un/ to refer to, to mention.",,S,MotusDictionary
sámbud,v,"/mag-,-un/ to wind, to bind, to roll, to twist, | to getentangled. Nagsámbud angkalát sa",,S,MotusDictionary
sampaguíta,n,native jasmin.,,S,MotusDictionary
sampátun,n,"expert, sage.",,S,MotusDictionary
sámpuk,v,"/mag-,-un/ to fight head to head, to fight in",,S,MotusDictionary
man-to-man,unknown,combat.,,S,MotusDictionary
sámput,v,"/mag-,-an/ to come to, to reach, to arrive at.",,S,MotusDictionary
Nagsámput,unknown,nasilásasyudád . They finally,,S,MotusDictionary
sámtang,unknown,"con meanwhile, while, meantime. | sámu’ v /mag-,-un/ to dilute, to mixto gether .",,S,MotusDictionary
sámuk,n,"noise, trouble, bother .",,S,MotusDictionary
Youjustdisturbed,unknown,theclass.,,S,MotusDictionary
sánag,adj,"/ma-/ bright, shiny .",,S,MotusDictionary
sándad,v,"/ma-/ to knock over andfall, to stumble.",,S,MotusDictionary
Nasándad,unknown,si Lucía . Lucia stumbled. HILIGA YNON DICTIONAR Y,,S,MotusDictionary
sánday,unknown,pt plural personal names nominal marker .,,S,MotusDictionary
anghubúg,unknown,. Thedrunk man leaned against | thewall.,,S,MotusDictionary
sándig,v,"/mag-,-an/ to lean on forsupport.",,S,MotusDictionary
sandíya,n,"watermelon, watermelon seeds.",,S,MotusDictionary
sánduk,n,"ladle, bigspoon.",,S,MotusDictionary
sánlag,v,"/mag-,-un/ to fry, to cook in oil. Nagsánlag",,S,MotusDictionary
sánting,adj,"/ma-/ of string orropes, tight.",,S,MotusDictionary
sántu,n,"variant of sántus. | sántu’ v /mag-/ to harmonize, to agree, to beofthe",,S,MotusDictionary
same,unknown,opinion. Nagsántu’ angámun iśip. We | agreed.,,S,MotusDictionary
sántus,n,saint.,,S,MotusDictionary
sáng,unknown,pt in definite noun marker . Nagbakál akúsang | líbro.; relational particle forpast time.,Nag’abút silásang Domínggo . They arrived,S,MotusDictionary
lastSunday,unknown,.,,S,MotusDictionary
sangá,n,"branch, bough, twig.",,S,MotusDictionary
sángkad,n,"/ka-/ width, breadth, broadness.",,S,MotusDictionary
sángkap,adj,"well-equipped, complete. S",,S,MotusDictionary
Ginsangkápan,unknown,kuangbaláy . Ifurnished the | house.,,S,MotusDictionary
sanggá,n,"branch, twig, bough.",,S,MotusDictionary
sánghid,v,"/mag-,-un/ to to uch lightly , to sidesweep.",,S,MotusDictionary
Nagsánghid,unknown,angíyabútkun salamésa . His,,S,MotusDictionary
armtouched,unknown,thetable slightly .,,S,MotusDictionary
sánglit,unknown,"con even if, meanwhile. | sapá’ n creek, brook, lake.",,S,MotusDictionary
sapák,v,"/mag-,-un/ to payattention to, to mind.",,S,MotusDictionary
Ginsapák,unknown,sang babáyi angkútsukútsu . The,,S,MotusDictionary
lady,unknown,"paid attention to therumors. | sapá’sápa’ n lagoon, man-made brook orcreek.",,S,MotusDictionary
sápat,n,in sect.,,S,MotusDictionary
sapatéro,n,shoemaker .,,S,MotusDictionary
sapátus,n,shoe.,,S,MotusDictionary
sápsap,v,"/mag-,-un/ to chop soasto make even, to | smoothen. Nagsápsap angtáwu sang káhuy .",,S,MotusDictionary
sapú,v,"/ma-…-an/ to discover , to findout.",Nasapú’an kuangdúlsi sapúyu . Ifound the,S,MotusDictionary
candy,unknown,in thebag.,,S,MotusDictionary
sápul,v,"/mag-,-un/ to confer , to talkthings over.",,S,MotusDictionary
Nagsápul,unknown,angmangá konsehál kagang,,S,MotusDictionary
Máyor,unknown,. Thecouncilors andthe Mayor hada | conference. HILIGA YNON DICTIONAR Y,,S,MotusDictionary
sapúpu,v,"/mag-,-un/ to take care of. Ginsapúpu kuang | báta’ ngadyútay . Ito ok care of thesmall | child.",,S,MotusDictionary
sapút,v,"/mag-,-un/ to arrive, to reach. Nagsapút si",,S,MotusDictionary
Alfrédo,unknown,kagáb’i . Alfredo arrived lastnight.,,S,MotusDictionary
saráng,v,"/ma-…-an/ to beable, to bepossible, to be",,S,MotusDictionary
capable,unknown,"of, to beable to afford. Nasarangán",,S,MotusDictionary
sarí,n,"class, kind.",,S,MotusDictionary
sárisári,adj,"different, of mixed kinds, combined.",,S,MotusDictionary
sársa,n,"sauce, gravy .",,S,MotusDictionary
sarsyádo,n,"meat dish of chicken, pork ormeat with a",,S,MotusDictionary
sarút,n,"pest, plague, epidemic.",,S,MotusDictionary
sástre,n,"tailor . | sát’um v /-un; ma-…-an/ to know , to recognize. | happened. | sa’úlu v /mag-,-un/ to memorize, to remember . | sa’úlug v /mag-,-un/ to celebrate. Ginsa’úlug námun | angíyaka’adláwan . Wecelebrated his",Nasat’umán kuangnatabú’ . Iknew what,S,MotusDictionary
birthday,unknown,. | sá’ut n dance.,,S,MotusDictionary
sawáy,n,"brass metal, criticism. S",,S,MotusDictionary
sáwsaw,v,"/mag-,-un/ to soak, to putinto, to dip.",,S,MotusDictionary
sáya,n,long skirt of oldwomen.,,S,MotusDictionary
sayásat,v,"/mag-,-un/ to in vestigate, to check, to | diagnose. Ginsayásat akúsang doktór . The",,S,MotusDictionary
sáylu,v,"/mag-,-un/ to transfer , to move over.",,S,MotusDictionary
sáysay,v,"/mag-,-un/ to relate, to explain, to describe.",,S,MotusDictionary
sáyud,v,"/magpa-…-pa-…-un/ to know , to discover , to",,S,MotusDictionary
hear,unknown,about. Nagpasáyud si Cárlos nga,,S,MotusDictionary
mapakasál,unknown,syasasunúd ngabúlan . Carlos,,S,MotusDictionary
sayúp,v,"/mag-/ to commit anerror , to beatfault.",,S,MotusDictionary
Sebuáno,n,"language spoken principally in Agusan,","Bohol, Bukidnon, Cebu, Davao, Lanao del | Norte, theeastern halfof Leyte, Misamis | Occidental, Negros, Oriental, Surigao,",S,MotusDictionary
Zamboanga,unknown,"del Norte, Zamboanga del Sur,",,S,MotusDictionary
andinsome,unknown,to wns in Cotabato .,,S,MotusDictionary
sekretaŕya,n,secretary .,,S,MotusDictionary
sekréto,n,secret.,,S,MotusDictionary
séda,n,silk.,,S,MotusDictionary
segúro,n,in surance.,,S,MotusDictionary
sélyo,n,"stamp, postage. HILIGA YNON DICTIONAR Y",,S,MotusDictionary
semána,n,week.,,S,MotusDictionary
seménto,n,"cement, concrete.",,S,MotusDictionary
senádo,n,senate; /-r/senato r .,,S,MotusDictionary
sentábos,n,"on ecentavo, on ecentavo coin.",,S,MotusDictionary
sentimós,n,"centavo coin, on ecentavo, on ecent.",,S,MotusDictionary
séntro,n,"center , middle.",,S,MotusDictionary
Septyémbre,n,September .,,S,MotusDictionary
serbésa,n,beer.,,S,MotusDictionary
sérb,v,"i /mag-,-un/ to serve, to beofservice.",,S,MotusDictionary
Nagsérbi,unknown,silásang ilímnun . They served,,S,MotusDictionary
serbilyéta,n,table napkin.,,S,MotusDictionary
seremónya,n,ceremony .,,S,MotusDictionary
seréno,n,watchman.,,S,MotusDictionary
seténta,unknown,num seventy .,,S,MotusDictionary
séys,unknown,num six.,,S,MotusDictionary
seysénta,unknown,num sixty.,,S,MotusDictionary
si,unknown,pt personal name marker . Si Pédro sya. Heis,Pedro.,S,MotusDictionary
sibát,n,"spear , lance.",,S,MotusDictionary
sibín,n,wash cloth.,,S,MotusDictionary
sibít,n,straight pin. S,,S,MotusDictionary
dalága,unknown,sang búlak . Thelady pinned a,,S,MotusDictionary
corsage,unknown,on.,,S,MotusDictionary
síbu,n,grease.,,S,MotusDictionary
basúra,unknown,sabasurahán . Thetrash wasjust,,S,MotusDictionary
sibúyas,n,on ion.,,S,MotusDictionary
síkad,v,"/mag-,-un/ to kick with thefoot. Nagsíkad",,S,MotusDictionary
angílaNánay,unknown,saka’ákig . Their mother,,S,MotusDictionary
kicked,unknown,herfootwith anger .,,S,MotusDictionary
sikréta,n,detective.,,S,MotusDictionary
síku,n,elbow .,,S,MotusDictionary
sikúp,v,"/mag-,-un/ to catch with thehands, asof | fish. Ginsikúp kuanguláng . Icaught the",,S,MotusDictionary
lobster,unknown,.,,S,MotusDictionary
síkway,v,"/-un/ to reject, to abandon, to jilt, to leave | behind, to cast out. Ginsíkway ni Jáime si",,S,MotusDictionary
Córa,unknown,". Jaime jilted Cora. | síd’in g v /mag-,-un/ to peep, to look in foralittle | while. Nagsíd’in g angprinsipál sakwárto",,S,MotusDictionary
room,unknown,of theteacher .,,S,MotusDictionary
sidlángan,n,east.,,S,MotusDictionary
síga,n,"glow, shine.",,S,MotusDictionary
sigahúm,v,"/mag-,-un/ to desire, to hanker after.",,S,MotusDictionary
Nagsigahúm,unknown,ikáw sang mánggad . You,,S,MotusDictionary
desired,unknown,formore wealth.,,S,MotusDictionary
sigarílyo,n,cigarette.,,S,MotusDictionary
sígi,adv,"okay, alright, goahead.",,S,MotusDictionary
sígput,v,"/mag-,-un/ to take upsmall particles, to",,S,MotusDictionary
collect,unknown,theleavings. Ginsígput kuangbugás,,S,MotusDictionary
salatún,unknown,. Ito ok allthericegrains leftinthe | can.,,S,MotusDictionary
sígu,v,"/mag-/ to fit, to joinperfectly . Nagsígu ang",,S,MotusDictionary
takúp,unknown,. Thecover fitted well.,,S,MotusDictionary
sigúro,adv,"maybe, perhaps.",,S,MotusDictionary
siháy,v,"/mag-/ to bedifferent, to beincontrast, to",,S,MotusDictionary
separate,unknown,from. Nagsiháy si Victo r sagrúpu.,,S,MotusDictionary
sihigún,n,rod.,,S,MotusDictionary
silá,unknown,pr they (third person plural nominal pronoun).,,S,MotusDictionary
sílak,n,"rays of thesun, heat of thesun.",,S,MotusDictionary
sílaw,adj,"/ma-/ glaring, extremely shiny , blinding.",,S,MotusDictionary
sílhig,n,broom.,,S,MotusDictionary
síli,n,eel. S,,S,MotusDictionary
silíng,n,"saying, talk, words.",,S,MotusDictionary
sílu,adj,/ma-/ square.,,S,MotusDictionary
sílung,n,"basement, shelter .",,S,MotusDictionary
idálum,unknown,sang káhuy . They to ok shelter under | atree.,,S,MotusDictionary
sílut,v,"/-un,-an/ to punish, to condemn. Ginsilútan | kuangbáta’. Ipunished thechild.",,S,MotusDictionary
símba,v,"/mag-,-un/ to worship, to goto church, to",,S,MotusDictionary
payhomage,unknown,to.,,S,MotusDictionary
simbóryo,n,"dome, belfry .",,S,MotusDictionary
símbug,v,"/mag-,-un/ to mix, to dilute liquids.",,S,MotusDictionary
símpli,adj,"simple, ordinary .",,S,MotusDictionary
símpun,v,"/mag-,-un/ to join, to beto gether with.",,S,MotusDictionary
Nagsímpun,unknown,siÉlma samangá laláki . Elma,,S,MotusDictionary
joined,unknown,themen.,,S,MotusDictionary
sín,n,"galvanized iron. | siná’ d those, (farfrom thespeaker).",,S,MotusDictionary
síndi,n,"flame, light.",,S,MotusDictionary
Nagsíndi,unknown,angtáwu sang sigarílyo . Theman,,S,MotusDictionary
lighted,unknown,acigarette.,,S,MotusDictionary
siní,unknown,d these. HILIGA YNON DICTIONAR Y,,S,MotusDictionary
síni,n,"movie theatre, movie film.",,S,MotusDictionary
sínsil,n,chisel.,,S,MotusDictionary
sinsílyo,n,"small change, coins.",,S,MotusDictionary
síntas,n,"strip, ribbon of film. | sinú’ v /mag-,-un/ to shake soasto feelthesound. | sín’u pr who.",Ginsinú’ kuangniyúg . Ishook thecoconut.,S,MotusDictionary
sínyal,n,"sign, symbol, gesture.",,S,MotusDictionary
sínyas,n,"hint, cue, gesture, sign.",,S,MotusDictionary
called,unknown,me.,,S,MotusDictionary
síng,unknown,pt variant of sang .,,S,MotusDictionary
singkamás,n,"turnip. | síngki’ adj corny , unaccusto med, unsophisticated.",,S,MotusDictionary
síngko,unknown,num five.,,S,MotusDictionary
singkwénta,unknown,num fifty.,,S,MotusDictionary
sínggit,n,shout.,,S,MotusDictionary
sínghut,n,"sniff, smell.",,S,MotusDictionary
singíl,n,"sprout, seedling.",,S,MotusDictionary
singít,n,"pole, pole with ahook forgathering fruits.",,S,MotusDictionary
síngsing,n,"ring. | sípa’ n kick, Filipino game of kick ball.",,S,MotusDictionary
sipák,v,/mag-/ to separate from. Nagsipák sadálan,,S,MotusDictionary
siBérting,unknown,. Berting separated from usonthe | way.,,S,MotusDictionary
sipála,v,"/magpa-,-pa-…-an/ to in sult, to scorn.",,S,MotusDictionary
Ginpasipaláhan,unknown,"muakú. Youinsulted me. | sipí’ n on epiece, on epiece of anorange.",,S,MotusDictionary
sipílyo,n,to othbrush.,,S,MotusDictionary
